mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,1,,,8,100,20736.800000,48223.448169
true,104,,,8,100,,
true,112,,,8,100,,
true,120,,,8,100,,
true,128,,,8,100,,
true,16,,,8,100,161544.800000,6190.233298
true,24,,,8,100,176357.600000,5670.297169
true,32,,,8,100,162271.600000,6162.507796
true,40,,,8,100,168546.600000,5933.077262
true,48,,,8,100,163925.700000,6100.324720
true,56,,,8,100,166508.800000,6005.688588
true,64,,,8,100,152503.300000,6557.235155
true,72,,,8,100,162460.100000,6155.357531
true,8,,,8,100,108339.400000,9230.252337
true,80,,,8,100,157555.400000,6346.973826
true,88,,,8,100,161780.300000,6181.222312
true,96,,,8,100,,
